x_interp,Density,Plus_Unc,Minus_Unc
0.0,1.45743163942,0.36617899408,0.268910665315
4.0,-8.27007805975,1.18925119069,1.17373914009
8.0,-6.6717182622,0.258991454641,0.238869294525
12.0,-5.85476363313,0.12787735681,0.1417383682
16.0,-6.20546578162,0.204418345755,0.167584395409
20.0,-6.38721901782,0.18550344458,0.13302475825
24.0,-6.07655179832,0.148070802695,0.15380644866
28.0,-6.16476211813,0.16671448089,0.17974029557
32.0,-6.19500906135,0.193818257264,0.21340938826
36.0,-6.23479697952,0.222510774908,0.270859941565
40.0,-6.34759617169,0.273903348131,0.364500971388
44.0,-6.52931260352,0.365393225996,0.646906960947
48.0,-7.85128282307,0.86688715851,0.62340130782
52.0,-8.45546063284,1.77960235056,1.05538239735
56.0,-8.41128660244,1.81505634916,1.0873319219
60.0,-8.42349381411,1.81589320235,1.08367894871
64.0,-8.43062865836,1.80911117351,1.07681617305
68.0,-8.42833918854,1.79399071689,1.07705687447
72.0,-8.40981147737,1.83759980201,1.08925145709
76.0,-8.40453444015,1.8420214033,1.09246056734
80.0,-8.41110895094,1.80269764499,1.09479465348
84.0,-8.38596745047,1.84092746364,1.11116886908
88.0,-8.39317562596,1.8519896764,1.10445804781
92.0,-8.37559309376,1.81859994713,1.11622024211
96.0,-8.40215564787,1.83831755176,1.10324232228
100.0,-8.39303605411,1.84069296686,1.09857864754
104.0,-8.37902106969,1.85304336232,1.11325324048
108.0,-8.38290846013,1.85293685294,1.11324053083
112.0,-8.36500413568,1.84056622391,1.12089002979
116.0,-8.38288233851,1.86353671112,1.11607619073
120.0,-8.34961230041,1.88278589163,1.131698611
124.0,-8.35658049308,1.88658900432,1.12959165861
128.0,-8.33877762759,1.88088639615,1.14401137939
132.0,-8.35376897615,1.86496877954,1.13191848839
136.0,-8.32508611603,1.89315430233,1.14902817319
140.0,-8.32267429273,1.90559498882,1.15583862404
