Density,Plus_Unc,Minus_Unc
-7.6340649225,1.6523878331,1.6082036358
-5.4701237802,0.3657765373,0.2914936466
-4.3362597774,0.1734396946,0.1960493817
-4.9973908557,0.1552281309,0.1701530315
-4.8928341676,0.1092386084,0.1167173334
-4.776255923,0.1054983557,0.0954395787
-4.7667552462,0.1030164583,0.0876392866
-4.7822626798,0.1037214982,0.0874586773
-4.7490873826,0.1022635832,0.0885187031
-4.7692140662,0.1054408472,0.0886014787
-4.7680943026,0.108574909,0.0943575166
-4.7133199746,0.1095029036,0.1000680965
-4.6555341368,0.1116146934,0.0958536536
-4.6536549673,0.1146725734,0.0955940902
-4.6251297587,0.1061371987,0.0938802595
-4.6196664458,0.1059370523,0.0959027779
-4.6117036461,0.1080514565,0.0956753922
-4.6048529456,0.1038987023,0.0941000592
-4.570337433,0.1084216242,0.0976689509
-4.5494641931,0.1051101472,0.1010255016
-4.5458076482,0.1002635773,0.0948890563
-4.5572203794,0.10476848,0.0940560403
-4.5212619544,0.1011488002,0.0976731493
-4.52822427,0.1050350158,0.0970250495
-4.4978528457,0.1056376629,0.0986276525
-4.486666435,0.1031683205,0.0989581392
-4.4499108928,0.1052463769,0.0989731162
-4.4520724981,0.104325948,0.0979542707
-4.4016675976,0.109093456,0.105510657
-4.4149028834,0.1107261216,0.106228519
-4.4250382298,0.1137176652,0.1055864461
-4.4256035154,0.1115990087,0.1095873323
-4.4107797369,0.1204649683,0.1116488905
-4.3959062165,0.1231069916,0.1144901367
-4.4205852502,0.1200894041,0.1153848606
