x_interp,Temperature,Plus_Unc,Minus_Unc
0.0,28.417246631,0.384486082743,0.309571912426
4.0,108.649079766,40.5945359585,40.6544583161
8.0,111.646249017,29.5581024765,24.2448127023
12.0,99.1586414631,25.0375026949,22.343768246
16.0,83.3017081714,21.5305683536,17.6061289413
20.0,67.0419396759,16.0045602965,12.7208339034
24.0,61.2186206159,12.52552734,9.43058956518
28.0,54.8869240524,10.3055442479,8.0540568743
32.0,54.4706319036,11.2878814988,8.2714569724
36.0,54.7887499106,13.5831503396,8.927121928
40.0,53.2923532959,12.519985717,8.26242004712
44.0,54.4921500371,15.7150569459,9.54547871796
48.0,52.7359745803,15.5874176995,9.41872759184
52.0,51.0748544141,15.7603375743,9.32108609588
56.0,49.24710326,15.0215543001,8.48909490466
60.0,50.2516816789,16.9106321341,9.09650819325
64.0,51.2380953504,16.6491041351,9.47978842225
68.0,50.794857049,16.9893803924,9.5690518963
72.0,47.431143811,14.6339455768,8.41187807035
76.0,46.3559902137,12.5254707887,7.52673583037
80.0,47.5439960875,13.2425541189,7.9753587395
84.0,48.1056061684,13.6966549204,7.97762483375
88.0,47.461770283,13.5457660275,7.9883985235
92.0,46.970080079,13.6061381459,8.1120670321
96.0,45.0959600843,12.553681704,7.7609519507
100.0,64.2974625394,25.3169822544,16.5686031867
104.0,62.806536797,26.2112472857,16.3956663699
108.0,46.1814603946,16.031725742,8.07955441872
112.0,61.0553877484,25.4041898533,17.2487659422
116.0,44.1722279216,14.0834013458,7.77894771525
120.0,44.6637838845,14.5320723881,7.77781699161
124.0,61.415576043,26.0708038267,16.9452311159
128.0,60.9127664617,25.2855957009,16.4522915572
132.0,59.4467570476,25.5585419163,16.6736971343
136.0,59.591647255,26.0337999037,16.7585136229
140.0,59.661329037,26.0532468607,16.735601132
