Source,Distance(pc),Distance_Unc(pc),DeBeck_etal_2010_Terminal_Velocity_fromCOdata(cm/s),PACS70_threeSigma_arcsec,PACS160_threeSigma_arcsec,SCUBA450_threeSigma_arcsec,SCUBA850_threeSigma_arcsec
cit6,440,132,2080000,91.2,70.4,12,44
epaqr,113.636,8.1,1150000,139.2,25.6,0,0
iktau,260,10,1850000,83.2,99.2,38,24
irc10011,740,222,1980000,48,67.2,10,20
irc10216,130,13,1450000,284.8,265.6,60,64
lpand,630,189,1400000,51.2,44.8,0,20
nmlcyg,1610,120,3300000,94.4,38.4,0,20
ocet,91.659,10.2,810000,147.2,92.8,50,40
rcas,125.79,16.4,1350000,140.8,121.6,10,16
rleo,71.2758,13.5,900000,118.4,35.2,12,0
rxboo,190.8396946565,22.9,900000,67.2,32,66,32
txcam,380,114,2120000,73.6,28.8,0,56
uhya,208.333,10,850000,129.6,124.8,0,20
waql,340,102,2000000,68.8,54.4,64,80
whya,104.275,12.2,850000,140.8,86.4,0,56
